#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-04-28T15:02:45 [V7.296]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	version=7.296	
#INFO	-ref=VIZ644bdffe11d3b8	
#INFO	-out.max=99999	
#INFO	queryParameters=13	
#-oc.form=dec
#-out.max=99999
#-nav=cat:VIII/99&tab:{VIII/99/radio}&key:source=VIII/99/radio&HTTPPRM:&
#-source=VIII/99/radio
#-order=I
#-out=Seq
#-out=Freq
#-out=l_Smax
#-out=Smax
#-out=l_Smin
#-out=Smin
#-out=r_Smax
#-out=Notes
#

#RESOURCE=yCat_8099
#Name: VIII/99
#Title: Catalogue of Radio Stars (Wendker, 2001)
#Table	VIII_99_radio:
#Name: VIII/99/radio
#Title: Radio data
#Column	Seq	(I4)	[1/3699] Star number, as in file "stars"	[ucd=meta.record]
#Column	Freq	(I6)	Frequency of radio measurement	[ucd=em.freq]
#Column	l_Smax	(A1)	Limit flag on Smax	[ucd=meta.code.error]
#Column	Smax	(F10.3)	Maximum Flux at Freq	[ucd=phot.flux.density;em.radio]
#Column	l_Smin	(A1)	Limit flag on Smin	[ucd=meta.code.error]
#Column	Smin	(F10.3)	Minimum Flux at Freq	[ucd=phot.flux.density;em.radio]
#Column	r_Smax	(I4)	? Reference of Fluxes (details in "refs.dat") [NULL integer written as an empty string]	[ucd=meta.ref;pos.frame]
#Column	Notes	(a56)	Remarks and notes about the radio flux	[ucd=meta.note]
Seq	Freq	l_Smax	Smax	l_Smin	Smin	r_Smax	Notes
2666	 14965	 	     1.710	 	     0.000	 524	  03/84; comp.A;
2666	 22500	<	    20.000	 	     0.000	 563	  02/78;
2666	 90000	<	   177.000	 	     0.000	 950	  01/87;
2666	250000	 	   104.000	 	     0.000	 950	  2 obs. 12/86-01/88;
2667	  2268	<	     3.000	 	     0.000	 742	  01/87;
2667	  4860	<	     1.000	 	     0.000	 678	  09/86-03/87;
2667	  8400	<	     4.800	 	     0.000	 617	  13 obs. 81-84;
2667	  8403	<	    10.000	 	     0.000	 742	  01/87;
2668	 14965	<	     1.900	 	     0.000	 703	  09/86-04/87;
2669	  2695	<	    10.000	 	     0.000	 212	  /75;
2669	  8085	<	    10.000	 	     0.000	 212	  /75;
2669	 10600	<	    25.000	 	     0.000	 203	  05/73;
2670	  4885	<	     0.570	 	     0.000	 745	  02/85;
2671	 14965	<	     1.300	 	     0.000	 703	  09/86-04/87;
2672	  4885	 	    40.000	 	     0.000	 593	  /86;
2672	 14965	 	    83.000	 	     0.000	 593	  /86;
2673	   960	<	   210.000	 	     0.000	1392	  03-04/97;
2673	  2300	<	   170.000	 	     0.000	1392	  03-04/97;
2673	  3900	<	    63.000	 	     0.000	1392	  03-04/97;
2673	  4885	 	     0.500	 	     0.000	 516	  08/82;
2673	  7700	<	   110.000	 	     0.000	1392	  03-04/97;
2673	 11200	<	    80.000	 	     0.000	1392	  03-04/97;
2673	 21700	<	   230.000	 	     0.000	1392	  03-04/97;
2674	230000	 	   158.000	 	     0.000	1129	  03/93;
2675	  4860	<	     0.430	 	     0.000	 692	  /?;
2676	   960	<	   210.000	 	     0.000	1392	  03-04/97;
2676	  1380	<	     1.260	 	     0.000	1350	  02/97;
2676	  2300	<	   180.000	 	     0.000	1392	  03-04/97;
2676	  2380	<	     0.630	 	     0.000	1350	  02/97;
2676	  3900	<	   160.000	 	     0.000	1392	  03-04/97;
2676	  4800	<	     0.480	 	     0.000	1220	  06/95;
2676	  4885	<	     0.400	 	     0.000	 516	  08/82;
2676	  7700	<	   170.000	 	     0.000	1392	  03-04/97;
2676	  8640	<	     0.390	 	     0.000	1220	  06/95;
2676	 11200	<	    90.000	 	     0.000	1392	  03-04/97;
2676	 21700	<	   320.000	 	     0.000	1392	  03-04/97;
2677	  2695	<	     8.000	 	     0.000	 212	  /75;
2677	  8085	<	     8.000	 	     0.000	 212	  /75;
2678	  1380	<	     1.290	 	     0.000	1350	  02/97;
2678	  2380	<	     0.570	 	     0.000	1350	  02/97;
2678	  4800	<	     0.420	 	     0.000	1220	  06/95;
2678	  8640	<	     0.420	 	     0.000	1220	  06/95;
2679	  1380	<	     1.200	 	     0.000	1350	  02/97;
2679	  2380	<	     0.900	 	     0.000	1350	  02/97;
2679	  4800	 	     1.940	 	     0.000	1099	  09/94;
2679	  4885	 	     0.600	 	     0.000	 516	  08/82;
2679	  8640	 	     2.990	 	     0.000	1099	  09/94;
2680	  1380	<	     0.480	 	     0.000	1350	  02/97;
2680	  2380	 	     0.580	 	     0.000	1350	  02/97;
2680	  4800	 	     1.090	 	     0.000	1220	  06/95;
2680	  4885	<	     0.300	 	     0.000	 516	  08/82;
2680	  8640	 	     1.100	 	     0.000	1220	  06/95;
2681	  4885	<	     0.210	 	     0.000	 736	  10/86;
2682	   843	 	    32.000	 	     3.300	1192	  7 obs. 02-03/95;
2682	  1465	 	     4.600	 	     3.600	1033	  2 obs. 10/93;
2682	  1490	 	    21.000	 	     5.000	1192	  6 obs. 02-03/95;
2682	  4885	 	     4.900	 	     4.400	1033	  2 obs. 10/93;
2682	  4900	 	    15.000	<	     0.500	1192	  32 obs. 02/95-05/96;
2682	  8400	 	    11.500	 	     0.900	1192	  9 obs. 02-05/95;
2682	  8440	 	     4.600	 	     0.000	1033	  10/93;
2682	 14900	 	     9.000	 	     0.500	1192	  6 obs. 02-03/95;
2682	 14965	 	     4.400	 	     0.000	1033	  10/93;
2683	  1465	 	     0.480	 	     0.000	 458	  07/82; same data in (745);
2683	  4885	 	     2.330	 	     1.790	 745	  4 obs. 02/82-03/86; part of data in (458);
2683	 14500	<	    15.000	 	     0.000	 244	  /77;
2683	 14965	 	     6.190	 	     3.300	 745	  4 obs. 07/85-06/86;
2683	250000	 	    80.000	 	     0.000	 950	  12/86-01/87;
2684	 14965	<	     1.100	 	     0.000	 703	  09/86-04/87;
2685	  4885	 	     0.360	 	     0.000	 745	  02/85;
2685	  8440	<	     0.090	 	     0.000	 956	  01/90;
2686	   430	<	   300.000	 	     0.000	 217	  11-12/75;
2686	  1400	<	     0.700	 	     0.000	1327	  04/95;
2686	  1465	 	     0.690	<	     0.450	 737	  2 obs. 07-08/86; comp.B; part of data in (579);
2686	  4860	<	     1.000	 	     0.000	 678	  09/86-03/87; both comp.;
2686	  4885	 	     0.510	<	     0.280	 737	  2 obs. 07-08/86; comp.B; part of data in (579);
2686	  4885	 	     0.185	 	     0.000	 932	  90/91?; comp. A;
2686	  4885	 	     0.219	 	     0.000	 932	  90/91?; comp. B;
2686	  8400	<	     0.093	 	     0.000	 932	  90/91?; comp. A and B;
2687	  8400	<	     3.900	 	     0.000	1115	  4 obs. 02/89-05/90;
2688	  8400	<	     5.100	 	     0.000	 617	  7 obs. 81-84;
2689	  4885	<	     0.240	 	     0.000	 745	  02/85;
2689	  8440	<	     0.100	 	     0.000	 956	  02/91;
2690	 14965	<	     1.100	 	     0.000	 703	  09/86-04/87;
2691	  4860	<	     0.400	 	     0.000	 622	  11/84-02/86;
2691	  4885	<	     0.230	 	     0.000	 738	  06/85;
2692	 14965	<	     1.600	 	     0.000	 703	  09/86-04/87;
2693	  8400	<	     5.100	 	     0.000	 714	  11 obs. 02/87-07/88;
2694	  4885	 	     0.900	 	     0.000	 516	  08/82;
2695	  4885	<	     0.210	 	     0.000	1001	  01-04/92;
2696	 14965	<	     1.400	 	     0.000	 703	  09/86-04/87;
2697	  1400	<	     0.600	 	     0.000	1161	  02/94; intended companion pulsar search;
2697	  1465	<	     5.800	 	     0.000	 463	  03/83;
2697	  2695	<	    30.000	 	     0.000	  51	  /71;
2697	  4885	<	     1.400	 	     0.000	 463	  03/83;
2697	  8085	<	    30.000	 	     0.000	  51	  /71;
2697	 10650	<	   140.000	 	     0.000	 463	  03/83;
2697	 14695	<	     2.300	 	     0.000	 463	  03/83;
2698	   430	<	   100.000	 	     0.000	 335	  03/80;
2699	  4885	<	     0.320	 	     0.000	 745	  02/85;
2699	  8440	<	     0.110	 	     0.000	 956	  01/90;
2700	 14965	<	     1.300	 	     0.000	 703	  09/86-04/87;
2701	  4885	<	     0.270	 	     0.000	 745	  02/85;
2701	  8440	<	     0.140	 	     0.000	 956	  01/90;
2702	  4885	 	     0.570	<	     0.170	 745	  3 obs. 02/85-06/87;
2702	  8440	<	     0.110	 	     0.000	 956	  01/90;
2702	 14500	<	    15.000	 	     0.000	 244	  /77;
2702	 14965	<	     0.450	<	     0.630	 745	  2 obs. 07/85-06/87;
2703	  2700	 	    25.000	 	     0.000	 351	  04/74;
2703	  6200	 	    16.000	 	     0.000	 351	  02/75;
2703	  8100	 	    22.000	 	     0.000	 351	  04/74;
2703	  8900	<	    30.000	 	     0.000	 351	  01/75;
2703	 10600	 	    33.000	 	     0.000	 351	  72-79;
2703	 14500	 	    42.000	 	     0.000	 351	  77-78;
2704	 31400	<	  3300.000	 	     0.000	 121	  01-02/73;
2704	 85300	<	  5400.000	 	     0.000	 121	  01-02/73;
2705	  2700	 	    19.000	 	     0.000	 351	  04/74;
2705	  8100	 	    24.000	 	     0.000	 351	  04/74;
2705	 10600	 	    32.000	 	     0.000	 351	  72-79;
2705	250000	<	    45.000	 	     0.000	 950	  12/86-01/87;
2706	  4860	<	     0.400	 	     0.000	 622	  11/84-02/86;
2706	  4860	<	     0.600	 	     0.000	 738	  11/84;
2707	 14965	<	     1.300	 	     0.000	 703	  09/86-04/87;
2708	  4860	<	     1.000	 	     0.000	 678	  09/86-03/87; both comp.;
2709	  4750	<	     0.120	 	     0.000	1287	  04-05/97;
2709	  8570	<	     0.120	 	     0.000	1287	  04-05/97;
2710	230000	<	    42.000	 	     0.000	1267	  08/92;
2711	  1490	<	     0.135	 	     0.000	 848	  04/90;
2711	  4885	 	     0.620	<	     0.140	1277	  10 obs. 06/95-12/97; same data in (1324);
2711	 14700	<	    36.000	 	     0.000	 267	  06-08/77;
2712	  1465	<	     0.700	 	     0.000	 396	  02/81;
2712	  2700	<	    30.000	 	     0.000	 315	  06-08/79;
2712	  4800	<	    15.000	 	     0.000	 315	  12/79-01/80;
2712	  4800	<	     0.210	 	     0.000	1390	  04/98;
2712	  4885	<	     0.300	 	     0.000	 806	  2 obs. 06/86;
2712	  5000	<	     2.100	 	     0.000	 669	  08-09/86;
2712	  8640	<	     0.210	 	     0.000	1390	  04/98;
2712	 10700	<	    10.000	 	     0.000	 315	  08-10/79;
2712	 14700	 	    14.000	<	     3.000	 267	  3 obs. 06-08/77;
2712	 31400	<	  3000.000	 	     0.000	 121	  01-02/73;
2712	 85300	<	  2400.000	 	     0.000	 121	  01-02/73;
2712	250000	<	    20.000	 	     0.000	 950	  12/87-01/88;
2713	  4885	<	     0.230	<	     0.480	 745	  2 obs. 02/82-02/85; part of data in (458);
2713	  5000	<	    15.000	 	     0.000	 268	  /78;
2713	  8440	<	     0.090	 	     0.000	 956	  01/90;
2713	  8440	<	     0.048	 	     0.000	1324	  05/97;
2713	 10500	<	    20.000	 	     0.000	 209	  /77;
2713	 14500	<	    15.000	 	     0.000	 244	  /77;
2713	 14700	<	    15.000	 	     0.000	 267	  06-08/77;
2713	 31400	<	  2400.000	 	     0.000	 121	  01-02/73;
2713	 85300	<	  4500.000	 	     0.000	 121	  01-02/73;
2714	  4885	<	     0.260	 	     0.000	 745	  02/85;
2715	  4885	<	     0.500	 	     0.000	 337	  08/80;
2715	  4885	<	     0.350	 	     0.000	 457	  07/83;
2715	  4885	<	     0.190	 	     0.000	 524	  01/83-06/85;
2715	250000	<	    10.000	 	     0.000	 950	  03/89;
2716	  4885	<	     0.210	 	     0.000	 736	  10/86;
2717	  2700	 	    36.000	 	     0.000	 351	  04/74;
2717	  5000	 	    40.000	 	     0.000	 351	  74-78;
2717	  6200	 	    26.000	 	     0.000	 351	  02/75;
2717	  8100	 	    33.000	 	     0.000	 351	  04/74;
2717	  8900	 	    33.000	 	     0.000	 351	  01/75;
2717	 10600	 	    32.000	 	     0.000	 351	  72-79;
2717	 22200	 	    49.000	 	     0.000	 351	  75-79;
2718	  4885	<	     0.360	 	     0.000	 425	  10/81;
2718	 20000	<	     7.000	 	     0.000	 713	  08/84;
2719	 14700	<	    18.000	 	     0.000	 267	  06-08/77;
2720	  8400	<	     4.500	 	     0.000	 617	  7 obs. 81-84;
2721	  4885	<	     0.180	 	     0.000	 745	  02/85;
2721	  8440	<	     0.110	 	     0.000	 956	  01/90;
2722	  4885	<	     0.170	 	     0.000	 745	  02/85;
2722	  8440	<	     0.100	 	     0.000	 956	  05/91;
2723	  5000	<	     6.000	 	     0.000	 220	  10-11/76;
2724	  4885	<	     0.600	 	     0.000	 458	  02/82; same data in (745);
2724	  4885	<	     0.300	 	     0.000	 826	  03/85;
2724	  8440	 	     0.510	 	     0.000	 956	  01/90;
2724	 14500	<	    15.000	 	     0.000	 244	  /77;
2725	  2695	<	    50.000	 	     0.000	  51	  /71;
2725	  4860	<	     1.050	 	     0.000	 692	  /?;
2725	  8085	<	    50.000	 	     0.000	  51	  /71;
2726	 14965	<	     1.400	 	     0.000	 703	  09/86-04/87;
2727	 14965	<	     1.500	 	     0.000	 703	  09/86-04/87;
2728	  8400	<	     6.300	 	     0.000	 617	  5 obs. 81-84;
2729	  5000	<	    12.000	 	     0.000	 351	  74-78;
2729	  8900	<	    30.000	 	     0.000	 351	  01/75;
2729	 10600	<	    30.000	 	     0.000	 351	  72-79;
2730	  4885	<	     0.180	 	     0.000	1001	  01-04/92;
2731	  4885	<	     0.260	 	     0.000	 736	  10/86;
2732	  4885	 	     0.210	<	     0.240	1277	  7 obs. 09/95-09/97;
2733	  4860	<	     0.100	 	     0.000	 778	  05/88;
2734	  1380	<	     1.500	 	     0.000	1350	  02/97;
2734	  2380	<	     0.660	 	     0.000	1350	  02/97;
2734	  4800	<	     0.450	 	     0.000	1220	  06/95;
2734	  4885	<	     0.400	 	     0.000	 516	  08/82;
2734	  8640	<	     0.450	 	     0.000	1220	  06/95;
2735	  1380	<	     1.530	 	     0.000	1350	  02/97;
2735	  2380	<	     1.020	 	     0.000	1350	  02/97;
2735	  4800	<	     0.390	 	     0.000	1220	  06/95;
2735	  4885	<	     0.600	 	     0.000	 516	  08/82;
2735	  8640	<	     0.390	 	     0.000	1220	  06/95;
2736	  4885	 	     0.900	 	     0.000	 516	  08/82;
2736	250000	 	    19.000	 	     0.000	 950	  12/87-01/88;
2737	  4800	<	     1.300	 	     0.000	1115	  04-10/89;
2737	  8400	<	     3.600	 	     0.000	1115	  8 obs. 02/89-05/90;
2738	  4860	 	     0.870	 	     0.000	 622	  11/84-02/86;
2738	  4885	 	    28.700	 	    17.900	 738	  2 obs. 06-09/84; part in (503); same in (889);
2738	  5000	<	     1.160	 	     0.000	1038	  12/90;
2738	 14965	 	    14.800	 	     0.000	 889	  03/84;
2738	250000	<	    10.000	 	     0.000	 950	  12/87-01/88;
2739	 14965	<	     1.600	 	     0.000	 703	  09/86-04/87;
2740	 14965	<	     1.600	 	     0.000	 703	  09/86-04/87;
2741	  1465	<	     0.740	 	     0.000	 396	  02/81;
2741	  4800	<	     0.130	 	     0.000	1390	  04/98;
2741	  4885	<	     0.260	 	     0.000	 568	  06/82;
2741	  8640	<	     0.140	 	     0.000	1390	  04/98;
2741	 14700	 	    15.000	<	     3.000	 267	  5 obs. 06/77-04/78, flare;
2742	  4885	<	     0.300	 	     0.000	 745	  02/85;
2742	  8440	<	     0.100	 	     0.000	 956	  05/91;
2743	  4885	 	     2.000	 	     0.000	 311	  /79;
2744	 14965	<	     1.400	 	     0.000	 703	  09/86-04/87;
2745	   327	<	    39.000	 	     0.000	 565	  02/86; search for cyclotron maser flares;
2745	  1460	<	     0.300	 	     0.000	 565	  02/86; search for cyclotron maser flares;
2746	  1465	 	     0.440	 	     0.000	 458	  07/82; same data in (745);
2746	  4885	 	     0.920	<	     0.300	 745	  4 obs. 02/82-03/86; part of data in (458);
2746	  8440	 	     1.190	 	     0.000	 956	  10/89;
2746	 14500	<	    15.000	 	     0.000	 244	  /77;
2746	 14965	<	     0.490	 	     0.000	 745	  06/85;
2746	250000	<	    15.000	 	     0.000	 950	  12/86-01/87;
2747	  5000	<	    10.000	 	     0.000	 220	  10-11/76;
2748	 14500	<	    15.000	 	     0.000	 244	  /77;
2749	  1465	 	     0.420	 	     0.000	 458	  07/82; same data in (745);
2749	  4885	 	     2.320	 	     2.130	 458	  2 obs. 02-07/82; same data in (745);
2749	  8440	 	     1.590	 	     0.000	 956	  05/91;
2749	 14500	<	    15.000	 	     0.000	 244	  /77;
2749	 14965	 	     3.700	 	     0.000	 745	  04/85;
2750	  2380	<	     6.000	 	     0.000	 504	  3 obs. 05-06/83;
2751	 10600	<	    30.000	 	     0.000	 351	  72-79;
2752	  4800	 	     3.820	 	     0.000	1099	  04/94;
2752	  8640	 	     5.080	 	     0.000	1099	  04/94;
2753	 14965	<	     1.500	 	     0.000	 703	  09/86-04/87;
2754	  4885	<	     0.340	 	     0.000	 510	  12/83;
2754	 14965	<	     1.140	 	     0.000	 510	  12/83;
2755	 14965	<	     1.300	 	     0.000	 703	  09/86-04/87;
2756	  4885	 	     1.400	 	     0.000	 593	  /86;
2756	  8440	 	     3.200	 	     0.000	1145	  ?;
2756	 14965	 	     3.000	 	     0.000	 593	  /86;
2757	  4885	 	     4.700	 	     1.100	1221	  4 obs. 03-04/96;
2757	235000	 	    31.000	<	    27.200	1222	  3 obs. 02/96;
2758	  4885	<	     0.480	 	     0.000	 458	  07/82; same data in (745);
2758	  8440	<	     0.130	 	     0.000	 956	  02/91;
2758	 14500	<	    15.000	 	     0.000	 244	  /77;
2759	 14965	<	     1.600	 	     0.000	 703	  09/86-04/87;
2760	  4885	<	     0.600	 	     0.000	 458	  07/82; same data in (745);
2760	  8440	<	     0.190	 	     0.000	 956	  02/91;
2760	 10600	<	    24.000	 	     0.000	 351	  72-79;
2760	 14500	<	    15.000	 	     0.000	 244	  /77;
2760	 14500	<	     9.000	 	     0.000	 351	  77-78;
2761	  4885	<	     0.210	 	     0.000	 745	  02/85;
2761	  8440	<	     0.140	 	     0.000	 956	  02/91;
2762	   843	<	    12.000	 	     0.000	 873	  07/86;
2762	  1446	<	     0.620	 	     0.000	 873	  10/90;
2762	  1465	 	     3.610	 	     0.000	 816	  08/86;
2762	  1465	<	     1.000	 	     0.000	 860	  03/89;
2762	  1465	 	     0.310	<	     0.330	 887	  4 obs. 10/88-10/91;
2762	  4760	<	     0.750	 	     0.000	 873	  2 obs. 06/90-02/91;
2762	  4885	 	     0.820	 	     0.000	 816	  08/86;
2762	  4885	 	     0.400	 	     0.000	 860	  03/89;
2762	  4885	 	     0.470	<	     0.090	 887	  8 obs. 10/88-04/92;
2762	  4910	 	     0.470	 	     0.000	 955	  11/91;
2762	  8440	<	     0.060	<	     0.090	 887	  2 obs. 09-10/91;
2762	150000	<	   110.000	 	     0.000	1149	  09/93;
2763	  4885	<	     2.000	 	     0.000	 337	  08/78;
2764	  6200	<	    36.000	 	     0.000	 351	  02/75;
2764	 10500	<	    20.000	 	     0.000	  55	  01/73;
2764	 10600	<	    25.000	 	     0.000	 203	  01/73;
2764	 10690	<	     5.000	 	     0.000	 155	  05/73;
2764	 22500	<	    65.000	 	     0.000	 563	  02/78;
2765	 10600	<	    30.000	 	     0.000	 351	  72-79;
2766	  4885	<	     0.210	 	     0.000	 745	  02/85;
2767	 14965	<	     1.700	 	     0.000	 703	  09/86-04/87;
2768	  8440	 	     0.300	 	     0.000	1130	  01/91;
2769	   408	<	    50.000	 	     0.000	 421	  2 obs. 11/74;
2769	   960	 	   480.000	<	    26.000	 421	  4 obs. 03-09/75;
2769	  1660	<	    55.000	 	     0.000	 421	  06/74;
2770	  4885	 	     1.280	 	     0.000	 715	  84-87;
2770	 14965	 	     3.400	 	     0.000	 810	  84-87; reporting a cometary tail to IRS 7;
2771	  8440	 	     1.000	 	     0.000	1145	  ?
2772	  1500	 	   850.000	 	   140.000	 864	  12 obs. 03/91-08/91;
2772	  4885	 	   230.000	 	    80.000	 864	  04 obs. 03/91-08/91;
2772	  8400	 	   231.000	<	     4.000	 864	  18 obs. 12/90-08/91;
2772	 14965	 	   143.000	<	     5.000	 864	  16 obs. 12/90-08/91;
2772	 22200	 	    99.000	<	     8.000	 864	  14 obs. 12/90-08/91;
2773	  4885	 	     0.800	 	     0.000	1364	  09/82-10/84;
2773	  8300	 	     1.300	 	     0.000	1364	  06/92-09/93;
2774	  4885	 	     1.800	 	     0.000	1364	  09/82-10/84;
2774	  8300	 	     2.900	 	     0.000	1364	  06/92-09/93;
2775	  4885	 	     7.400	 	     0.000	1364	  09/82-10/84;
2775	  8300	 	     5.800	 	     0.000	1364	  06/92-09/93;
2776	  8440	<	     0.140	 	     0.000	1039	  06/93-02/94;
2777	 14965	<	     1.900	 	     0.000	 703	  09/86-04/87;
2778	   960	<	   120.000	 	     0.000	1392	  03-04/97;
2778	  2300	<	    50.000	 	     0.000	1392	  03-04/97;
2778	  3900	<	    19.000	 	     0.000	1392	  03-04/97;
2778	  7700	<	    20.000	 	     0.000	1392	  03-04/97;
2778	 11200	<	    20.000	 	     0.000	1392	  03-04/97;
2778	 21700	<	   110.000	 	     0.000	1392	  03-04/97;
2779	230000	 	    13.900	<	    24.000	 821	  2 obs. 03/89-05/90;
2780	275000	 	   191.000	 	     0.000	1073	  05-06/90;
2780	395000	 	   690.000	 	     0.000	1073	  05-06/90;
2781	  4885	<	     0.180	 	     0.000	 731	  11/87;
2782	  2380	<	     5.000	 	     0.000	 504	  4 obs. 05-06/83;
2782	  4860	<	     1.000	 	     0.000	 678	  09/86-03/87; comp.A;
2783	  8440	<	     0.140	 	     0.000	1039	  06/93-02/94;
2784	  4885	<	     0.200	 	     0.000	 745	  02/85;
2784	  8440	<	     0.120	 	     0.000	 956	  02/91;
2784	 14500	<	    15.000	 	     0.000	 244	  /77;
2785	  1415	<	     5.000	 	     0.000	  76	  /71;
2785	  1415	 	    11.000	 	     0.000	  85	  /72;
2785	  2695	<	     5.000	 	     0.000	  23	  /71;
2785	  4800	<	     0.180	 	     0.000	1390	  04/98;
2785	  4885	<	     0.250	 	     0.000	 568	  06/82;
2785	  5000	<	     6.800	 	     0.000	 669	  08-09/86;
2785	  6520	<	    40.000	 	     0.000	  25	  04/70;
2785	  8640	<	     0.170	 	     0.000	1390	  04/98;
2785	 14700	<	    15.000	 	     0.000	 267	  /72;
2785	 31400	<	  2700.000	 	     0.000	 121	  01-02/73;
2785	 85300	 	  5700.000	 	     0.000	 121	  /72;
2786	  1460	 	   590.000	 	    50.000	1370	  3 obs. 06/98;
2786	  2250	 	   110.000	 	     0.000	1370	  06/98;
2786	  4800	 	   115.000	 	     0.000	1371	  06/98;
2786	  4860	 	   410.000	 	    28.000	1370	  3 obs. 06/98;
2786	  8300	 	    50.000	 	     0.000	1370	  06/98;
2786	  8460	 	   330.000	 	    90.000	1370	  2 obs. 06/98;
2786	  8600	 	   100.000	 	     0.000	1371	  06/98;
2786	 14900	 	   280.000	 	    66.000	1370	  2 obs. 06/98;
2786	 22500	 	   200.000	 	    55.000	1370	  2 obs. 06/98;
2787	  4885	 	     2.300	 	     0.000	 766	  03/87;
2787	 14965	 	     5.500	 	     0.000	 766	  03/87;
2787	275000	 	   160.000	 	     0.000	1006	  05/91;
2787	375000	 	    65.000	 	     0.000	1006	  05/91;
2788	  8400	 	     9.900	 	     7.500	 617	  7 obs. 81-84; 2nd value: (617) only lists the median;
2788	  8400	 	     9.900	 	     5.900	 705	  13 obs.; update of (617); 2nd value is listed median;
2789	  8400	<	     5.400	 	     0.000	 617	  9 obs. 81-84;
2790	   843	 	    10.600	 	     0.000	 511	  06/83;
2790	  1600	 	    15.000	 	     0.000	 304	  /83;
2790	  2700	 	    33.000	 	     0.000	 351	  01/75;
2790	  4885	 	    50.000	 	     0.000	 826	  09/83; same data in (840);
2790	  5000	 	    46.000	 	     0.000	 351	  74-78;
2790	  6200	 	    65.000	 	     0.000	 351	  02/75;
2790	  8100	 	    82.000	 	     0.000	 351	  74-78;
2790	  8310	 	    73.500	 	     0.000	 861	  07/88-10/89;
2790	  8440	 	    65.300	 	     0.000	 956	  05/91;
2790	  8440	 	    32.000	 	     0.000	1262	  09/91;
2790	  8900	 	    90.000	 	     0.000	 351	  01/75;
2790	 14965	 	    72.000	 	     0.000	 826	  09/83;
2790	 14500	 	    90.000	 	     0.000	 351	  77-78;
2790	 90000	 	   127.000	 	     0.000	 351	  75-77;
2790	230000	 	    59.000	<	   467.000	1051	  3 obs. 04/92-03/94;
2790	275000	<	   202.000	 	     0.000	1051	  10/92;
2791	  4885	<	     0.180	 	     0.000	 731	  11/87;
2792	  4885	 	     0.960	 	     0.000	 745	  02/85;
2793	  5000	<	     3.600	 	     0.000	 669	  08-09/86;
2794	  4885	<	     0.170	 	     0.000	 745	  02/85;
2795	   327	<	     6.000	 	     0.000	 577	  3 obs. 03-04/85;
2795	  1490	 	    63.000	 	     2.100	 545	  30 obs. 02/85-01/86;
2795	  1700	 	    30.000	 	     0.000	 578	  04/85;VLBI 35 mas resolved;elongated map;in (686) too;
2795	  4850	 	    61.000	 	     3.100	 545	  27 obs. 02/85-01/86;
2795	  4885	<	     0.320	 	     0.000	 458	  02/82; same data in (745);
2795	  4900	 	    18.000	 	     0.000	 464	  02/84; authors indicate rising part of a flare;
2795	  5000	 	    63.000	 	    23.000	 479	  9 obs. 02/85-03/85; outburst;
2795	  5000	 	    82.000	 	    31.000	 577	  13 obs. 02-04/85;flare on top of outburst on March 8?;
2795	  5000	 	    30.000	<	    15.000	 686	  03/85; VLBI resolved; possible core-halo structure;
2795	  8440	<	     0.330	 	     0.000	 956	  02/91;
2795	 10600	<	    25.000	 	     0.000	 203	  05/73;
2795	 14500	<	    15.000	 	     0.000	 244	  /77;
2795	 14940	 	    68.000	 	     3.000	 545	  29 obs. 02/85-01/86;
2795	 22460	 	    75.000	 	    11.000	 545	  19 obs. 02/85-11/85;
2795	250000	<	    16.000	 	     0.000	 950	  12/87-01/88;
2796	  1465	<	     0.450	 	     0.000	 458	  07/82;
2796	  4885	 	     1.000	<	     0.310	 745	  3 obs. 02/82-07/85; part of data in (458);
2796	  8440	<	     0.080	 	     0.000	 956	  01/90;
2796	  8900	<	    45.000	 	     0.000	 351	  /75;
2796	 10600	<	    27.000	 	     0.000	 351	  72-79;
2796	 14500	<	    15.000	 	     0.000	 244	  /77; same data in (351);
2796	 14965	<	     0.360	 	     0.000	 745	  07/85;
